ProjectID,Category,Name,Subtitle,Organization,Role,Location
EV-03,Architecture,West Seattle to Ballard Link Extension,Planning Phases EIS,LMN Architects,Architecture & Urban Designer,"Seattle, WA - USA"
EV-06,ComputationalDesign,Station Transfer Times Calculation Methodology,West Seattle to Ballard Link Extension,LMN Architects,Architecture & Urban Designer,"Seattle, WA - USA"
EV-07,PublicRealm,Union Station Revitalization,Feasibility Study,LMN Architects,Urban Designer,"Seattle, WA - USA"
EV-09,Architecture,"University of Nevada, Reno John Tulloch Business Building",Urban Character and Campus Integration,LMN Architects,Project Lead Designer,"Reno, NV - USA"
EV-10,Architecture,Convention & Events Center Proposal,Concept Design and Design Development,LMN Architects,"Proposal Urban Designer, Architect and Interior Design",Saudi Arabia
EV-11,ComputationalDesign,Perth Convention & Events Center Expansion,Concept Design and Design Development,LMN Architects + COX Architect,Design Lead at Concept Design & Envelope Lead Designer,"Perth, WA - Australia"
EV-12,Futures,Columbus Convention Center Passenger Rail Station,"Vision, Feasibility Study & Urban Analysis",LMN Architects,Project Lead,"Columbus, OH - USA"
EV-13,Architecture,Austin Convention Center Expansion,Design Development,LMN Architects,Architecture & Urban Designer,"Austin, TX - USA"
EV-14,PublicRealm,520 Montlake & Roanoke Lid,Design Development,LMN Architects,Architecture & Urban Designer,"Seattle, WA - USA"
EV-15,PublicRealm,Stanford University Town Center Project,Placemaking Design,LMN Architects,Urban Designer,"Stanford, CA - USA"
EV-16,Artifacts&Interfaces,Amsterdam Light Festival 2020,Art Installation Proposal,LMN Tech Studio,Project Lead,Amsterdam - Netherlands
EV-17,Artifacts&Interfaces,Animap,Urban Analysis Display Prototype,LMN Tech Studio,Project Lead,
EV-18,Artifacts&Interfaces,Borealis Festival of Light Masterplan,A Continuous Experience Journey,LMN Tech Studio,Urban Designer,"Seattle, WA - USA"
EV-20,Artifacts&Interfaces,Following the Conversation,Investigation on Methods for Enhancement of Participatory Design,Harvard GSD,"Models, Prototypes & Projections","Cambridge, MA - USA"
EV-21,Artifacts&Interfaces,Music Footprint,Tracing Songs and Artists Across the Globe,Harvard SEAS CS171,Data Visualization Project,"Cambridge, MA - USA"
EV-22,Artifacts&Interfaces,Vestige Augmented,Kinetic Urban Installation,Harvard SEAS,Data Visualization Project,"Cambridge, MA - USA"
EV-24,Artifacts&Interfaces,Open Walk,"Bioinspired, Actuated, Open Source Robotic Device",Harvard GSD,MDes Technology,
EV-26,PublicRealm,Imperial College Masterplan,Placemaking and Space Management,"Skidmore, Owings & Merrill",Urban Designer,London - UK
EV-27,PublicRealm,New Covent Garden Redevelopment,Masterplan / Planning Application,"Skidmore, Owings & Merrill",Urban Designer,London - UK
EV-28,PublicRealm,Google Campus Masterplan,Master Development Plan,Heatherwick Studio,Urban Designer,"Mountain View, CA - USA"
EV-29,Futures,Proxemics,Exploring Engagement in Public Transportation,Harvard GSD,MDes Technology,
EV-30,PublicRealm,Living Infrastructure!,"Identity, Infrastructure and Urban Design",UCL Bartlett School of Architecture,MArch Urban Design Thesis,"Los Angeles, CA - USA"
EV-32,ComputationalDesign,iUA - Interactive Urban Analysis,A Thesis About Urban Engagement,Harvard GSD + LMN Tech Studio,MDes Technology Thesis,
EV-33,Architecture,Cova VI,House Integral Renovation,Freelance Architect,Project Architect,Asturias - Spain
EV-34,Architecture,Hotel Luanda,Pre-Fabricated Architecture Concept,Freelance Architect,Project Architect,Angola
EV-36,Architecture,Multi-Religious Center at El Raval,Architecture Thesis Exploring Identity and Urban Integration,ETSALS Barcelona,Architecture Thesis,Barcelona - Spain
EV-38,ComputationalDesign,Urban Analysis Toolkit v2.0,Research Initiative,LMN Tech Studio,Research Lead,
EV-39,ComputationalDesign,WSBLE Station Feasibility Iterative Tool,Research Initiative,LMN Architects,Architecture & Urban Designer,"Seattle, WA - USA"
EV-40,ComputationalDesign,Urban Analysis Toolkit v1.0,Research Initiative,LMN Tech Studio,Research Lead,
EV-41,ComputationalDesign,Drone Video Urban Analysis,Research Initiative,LMN Tech Studio,Urban Designer,"Seattle, WA - USA"
EV-42,ComputationalDesign,Public Transit Planning Tool,Research Initiative,LMN Tech Studio,Architecture Designer/Urban Designer,
EV-44,Architecture,Fort Worth Convention Center Expansion,Architecture Pursuit,LMN Architects,Architecture & Urban Designer,"Fort Worth, TX - USA"
EV-45,Architecture,Raleigh Convention Center & Amphitheater,Architecture Pursuit,LMN Architects,Architecture & Urban Designer,"Raleigh, NC - USA"
EV-46,Futures,The Future of Fabrication at LMN,Vision + Strategy,LMN Tech Studio,Project Co-Lead,"Seattle, WA - USA"
EV-48,Futures,Life Custodian,Reflecting on the Emerging Need for Privacy and Offline Life,Harvard GSD,,
EV-49,Futures,Son Tra Peninsula,Strategic Regional Masterplan,"Skidmore, Owings & Merrill",Urban Designer,Danang - Vietnam
EV-52,Futures,Pluit City,Masterplan Development,"Skidmore, Owings & Merrill",Urban Designer,Jakarta - Indonesia
EV-55,Futures,Baisha Cluster,Masterplan Development,"Skidmore, Owings & Merrill",Urban Designer,Zhengzhou - China
EV-58,Futures,Google Campus Commuting Futures,Research Initiative,Heatherwick Studio,Urban Designer,"Mountain View, CA - USA"
EV-60,PublicRealm,Friends of Little Saigon,Public Engagement + Temporary Architecture,LMN Architects,Architecture & Urban Designer,"Seattle, WA - USA"
EV-54,Futures,Cendere Vadisi,Masterplan Development,"Skidmore, Owings & Merrill",Urban Designer,Istanbul - Turkey
EV-53,Futures,Da Nang Eco-Urban Development,Masterplan Development,"Skidmore, Owings & Merrill",Urban Designer,Danang - Vietnam
